Price,Address,Size,Rooms
 23.49 M Ft ," Erzsébetfalva – Pesterzsébeti lakótelep, XX. kerület", 59 m² terület, 3 szoba
 24.2 M Ft ," Kassák Lajos utca, XIII. kerület", 32 m² terület, 1 szoba
 34.9 M Ft ," Angyalföldi út, XIII. kerület", 56 m² terület, 3 szoba
 28.6 M Ft ," Szabolcs utca, XIII. kerület", 31 m² terület, 1 szoba
 23 M Ft ," Berda József utca, IV. kerület", 34 m² terület, 1 + 1 fél szoba
 25.6 M Ft ," Pap Károly utca, XIII. kerület", 29 m² terület, 1 + 1 fél szoba
 34.9 M Ft ," Hunyadi utca, XIX. kerület", 71 m² terület, 3 szoba
 29.99 M Ft ," Kispesti lakótelep, XIX. kerület", 53 m² terület, 2 + 1 fél szoba
 24.8 M Ft ," Dunakeszi utca, IV. kerület", 36 m² terület, 1 szoba
 26.9 M Ft ," Dugonics utca, IV. kerület", 55 m² terület, 1 + 2 fél szoba
 23 M Ft ," Pozsonyi utca, IV. kerület", 46 m² terület, 2 szoba
 29 M Ft ," Pannónia utca, XIII. kerület", 36 m² terület, 1 szoba
 20.99 M Ft ," Nagy Ignác utca, V. kerület", 27 m² terület, 2 szoba
 18.9 M Ft ," Kispest-Óváros, XIX. kerület", 27 m² terület, 1 szoba
 27.49 M Ft ," Fő utca 7, XIX. kerület", 53 m² terület, 1 + 2 fél szoba
 19.9 M Ft ," Géza utca, XX. kerület", 52 m² terület, 1 szoba
 26.5 M Ft ," Kispesti lakótelep, XIX. kerület", 53 m² terület, 1 + 2 fél szoba
 34 M Ft ," Lehel utca 6, XIX. kerület", 44 m² terület, 2 szoba
 25.78 M Ft ," Lehel utca 6, XIX. kerület", 30 m² terület, 1 + 1 fél szoba
 28.9 M Ft ," Lajtha László utca, XX. kerület", 58 m² terület, 2 szoba
 25 M Ft ," Wekerletelep, XIX. kerület", 55 m² terület, 2 szoba
 26.9 M Ft ," Garam utca, XIII. kerület", 45 m² terület, 2 szoba
 28.9 M Ft ," Kispest-Óváros, XIX. kerület", 60 m² terület, 1 + 2 fél szoba
 32.4 M Ft ," Hegedűs Gyula utca, XIII. kerület", 30 m² terület, 1 szoba
 33.5 M Ft ," Erzsébetfalva, XX. kerület", 48 m² terület, 2 szoba
 38 M Ft ," Arany János utca, V. kerület", 31 m² terület, 2 szoba
 28.9 M Ft ," Újlipótvárosi lakótelep, XIII. kerület", 41 m² terület, 1 szoba
 25.99 M Ft ," Pannónia utca, XIII. kerület", 24 m² terület, 1 szoba
 15.9 M Ft ," Erzsébetfalva, XX. kerület", 35 m² terület, 1 szoba
 35.99 M Ft ," Angyalföld – Lőportárdűlő, XIII. kerület", 55 m² terület, 2 szoba
 24.99 M Ft ," Kispesti lakótelep, XIX. kerület", 50 m² terület, 1 + 1 fél szoba
 29.9 M Ft ," Bulcsú utca, XIII. kerület", 40 m² terület, 2 szoba
 22.9 M Ft ," Wekerletelep, XIX. kerület", 47 m² terület, 2 szoba
 23.79 M Ft ," Róbert Károly körút, XIII. kerület", 30 m² terület, 1 + 1 fél szoba
 21.5 M Ft ," Nap utca, IV. kerület", 29 m² terület, 1 szoba
 16.8 M Ft ," Pöltenberg utca, XX. kerület", 27 m² terület, 1 szoba
 27.3 M Ft ," Szent László út, XIII. kerület", 53 m² terület, 2 + 1 fél szoba
 26.9 M Ft ," Eperjes utca, XX. kerület", 56 m² terület, 2 szoba
 36.5 M Ft ," Kispest-Kertváros, XIX. kerület", 95 m² terület, 3 szoba
 21.9 M Ft ," Baross utca, XX. kerület", 43 m² terület, 1 szoba
 23.99 M Ft ," Gubacsipuszta, XX. kerület", 56 m² terület, 2 + 1 fél szoba
 38 M Ft ," József Attila tér, XIII. kerület", 68 m² terület, 3 szoba
 26.05 M Ft ," Szent László út, XIII. kerület", 27 m² terület, 1 szoba
 23.7 M Ft ," Hegedűs Gyula utca, XIII. kerület", 24 m² terület, 1 szoba
 34.86 M Ft ," Újlipótváros, XIII. kerület", 55 m² terület, 2 szoba
 22.49 M Ft ," Angyalföld, XIII. kerület", 32 m² terület, 1 szoba
 27.9 M Ft ," Izzó utca, IV. kerület", 48 m² terület, 2 szoba
 32 M Ft ," Rózsa utca, IV. kerület", 54 m² terület, 2 szoba
 29.49 M Ft ," Perényi Zsigmond utca, IV. kerület", 46 m² terület, 1 + 1 fél szoba
 20.99 M Ft ," Anonymus utca, IV. kerület", 39 m² terület, 1 szoba
 22.9 M Ft ," Szigeti József utca, IV. kerület", 35 m² terület, 1 + 1 fél szoba
 26 M Ft ," Erkel Gyula utca, IV. kerület", 41 m² terület, 1 + 1 fél szoba
 15.9 M Ft ," Erzsébetfalva, XX. kerület", 38 m² terület, 1 szoba
 21.9 M Ft ," Erzsébetfalva, XX. kerület", 28 m² terület, 1 szoba
 30 M Ft ," Kosárfonó utca, XIX. kerület", 60 m² terület, 1 + 2 fél szoba
 15.5 M Ft ," Baba utca, XX. kerület", 37 m² terület, 1 szoba
 38 M Ft ," Gubacs – Mediterrán lakópark, XX. kerület", 55 m² terület, 2 szoba
 16.99 M Ft ," Kassák Lajos utca, XIII. kerület", 23 m² terület, 1 szoba
 37.9 M Ft ," Béke utca 117, XIII. kerület", 48 m² terület, 2 szoba
 26.7 M Ft ," Hajdú köz, XIII. kerület", 36 m² terület, 1 szoba
 21.9 M Ft ," Újpest-Kertváros, IV. kerület", 38 m² terület, 1 szoba
 31.5 M Ft ," Dobó Katica utca, XIX. kerület", 62 m² terület, 2 + 1 fél szoba
 26.9 M Ft ," Perényi Zsigmond utca, IV. kerület", 49 m² terület, 2 szoba
 24.99 M Ft ," Béke tér, XIII. kerület", 38 m² terület, 1 szoba
 34.9 M Ft ," Teve utca, XIII. kerület", 39 m² terület, 1 szoba
 29.9 M Ft ," Palóc utca, XIII. kerület", 33 m² terület, 1 szoba
 11.98 M Ft ," Angyalföld – Országbíró utcai lakótelep, XIII. kerület", 11 m² terület, 1 + 1 fél szoba
 29.9 M Ft ," Angyalföld – Fiastyúk utcai lakótelep, XIII. kerület", 40 m² terület, 1 szoba
 28 M Ft ," Arasz utca, XIII. kerület", 45 m² terület, 1 szoba
 29.9 M Ft ," Palóc utca, XIII. kerület", 33 m² terület, 1 szoba
 25.7 M Ft ," Újpest-Központ, IV. kerület", 35 m² terület, 2 szoba
 33.9 M Ft ," Kispesti lakótelep, XIX. kerület", 73 m² terület, 1 + 3 fél szoba
 37.9 M Ft ," Vizafogó, XIII. kerület", 49 m² terület, 2 szoba
 17.9 M Ft ," Gubacsi lakótelep, XX. kerület", 33 m² terület, 1 szoba
 24.9 M Ft ," Újpest-Központ, IV. kerület", 46 m² terület, 1 szoba
 29.9 M Ft ," Angyalföld, XIII. kerület", 35 m² terület, 1 + 1 fél szoba
 26.9 M Ft ," Munkásotthon utca, IV. kerület", 53 m² terület, 2 szoba
 28.5 M Ft ," Kispesti lakótelep, XIX. kerület", 57 m² terület, 1 + 2 fél szoba
 27.9 M Ft ," Pálya utca, IV. kerület", 52 m² terület, 1 + 1 fél szoba
 16.9 M Ft ," Forgách utca, XIII. kerület", 34 m² terület, 1 szoba
 36.99 M Ft ," Angyalföld – Lőportárdűlő, XIII. kerület", 37 m² terület, 1 + 1 fél szoba
 29.9 M Ft ," Angyalföld – Fiastyúk utcai lakótelep, XIII. kerület", 45 m² terület, 1 szoba
 31.3 M Ft ," Újpest, IV. kerület", 67 m² terület, 2 + 1 fél szoba
 31.8 M Ft ," Balzac utca, XIII. kerület", 35 m² terület, 1 szoba
 15.5 M Ft ," Baba utca, XX. kerület", 37 m² terület, 1 szoba
 27.99 M Ft ," Batthyány utca, XIX. kerület", 53 m² terület, 1 + 2 fél szoba
 29.9 M Ft ," Nádor utca, IV. kerület", 54 m² terület, 1 + 1 fél szoba
 19.99 M Ft ," Újpest, IV. kerület", 37 m² terület, 1 szoba
 24.5 M Ft ," Fiastyúk utca, XIII. kerület", 34 m² terület, 1 szoba
 27.7 M Ft ," Rózsa utca, IV. kerület", 54 m² terület, 2 szoba
 18 M Ft ," Megyeri út, IV. kerület", 63 m² terület, 2 szoba
 23.9 M Ft ," Rákóczi utca, XIX. kerület", 57 m² terület, 2 szoba
 23 M Ft ," Baross utca, XX. kerület", 45 m² terület, 2 szoba
 21.9 M Ft ," Kispest, XIX. kerület", 46 m² terület, 1 szoba
 16.1 M Ft ," Baross utca, IV. kerület", 29 m² terület, 1 szoba
 26.8 M Ft ," Gubacsipuszta – Eperjes utcai lakótelep, XX. kerület", 54 m² terület, 2 szoba
 26 M Ft ," Újpest, IV. kerület", 41 m² terület, 1 + 1 fél szoba
 23.5 M Ft ," Munkásotthon utca, IV. kerület", 34 m² terület, 1 + 1 fél szoba
 36 M Ft ," Pacsirtatelep, XX. kerület", 78 m² terület, 3 szoba
 35.99 M Ft ," Pannónia utca, XIII. kerület", 48 m² terület, 2 szoba
 31.9 M Ft ," Attila utca, IV. kerület", 63 m² terület, 2 szoba
 15.5 M Ft ," Újpest, IV. kerület", 29 m² terület, 1 szoba
 30.98 M Ft ," Angyalföld – Lőportárdűlő, XIII. kerület", 45 m² terület, 2 szoba
 28.5 M Ft ," Újlipótváros – Cézárház, XIII. kerület", 33 m² terület, 1 szoba
 35.9 M Ft ," Kassai utca, IV. kerület", 75 m² terület, 3 szoba
 32.9 M Ft ," Kispest, XIX. kerület", 45 m² terület, 1 + 1 fél szoba
 32.5 M Ft ," Angyalföld – Országbíró utcai lakótelep, XIII. kerület", 31 m² terület, 1 szoba
 32.9 M Ft ," Dévai utca, XIII. kerület", 46 m² terület, 1 + 1 fél szoba
 33.9 M Ft ," Pannónia utca, XIII. kerület", 58 m² terület, 1 + 2 fél szoba
 16.5 M Ft ," Pöltenberg utca, XX. kerület", 42 m² terület, 2 szoba
 16.9 M Ft ," Erzsébetfalva, XX. kerület", 34 m² terület, 1 szoba
 25.7 M Ft ," Gyermek tér, XIII. kerület", 40 m² terület, 1 szoba
 32.8 M Ft ," Wekerletelep, XIX. kerület", 46 m² terület, 2 szoba
 37 M Ft ," Erzsébetfalva, XX. kerület", 90 m² terület, 3 szoba
 35.99 M Ft ," Pannónia utca, XIII. kerület", 48 m² terület, 2 szoba
 23.5 M Ft ," Erzsébetfalva, XX. kerület", 56 m² terület, 2 szoba
 25.7 M Ft ," Gyermek tér, XIII. kerület", 40 m² terület, 1 szoba
 16.4 M Ft ," Berda József utca, IV. kerület", 23 m² terület, 1 szoba
 16.9 M Ft ," Angyalföld – Béke–Tatai utcai lakótelep, XIII. kerület", 40 m² terület, 1 szoba
 29.9 M Ft ," Béke utca, XIII. kerület", 57 m² terület, 1 + 2 fél szoba
 29.7 M Ft ," Hollán Ernő utca, XIII. kerület", 43 m² terület, 1 szoba
 34.9 M Ft ," Káposztásmegyer I. lakótelep, IV. kerület", 65 m² terület, 2 + 1 fél szoba
 35.9 M Ft ," Radnóti Miklós utca 4-6, XIII. kerület", 46 m² terület, 1 szoba
 23.7 M Ft ," Topánka utca, XX. kerület", 66 m² terület, 3 szoba
 29.9 M Ft ," Belgrád rakpart, V. kerület", 33 m² terület, 1 szoba
 16.9 M Ft ," Vörösmarty utca, IV. kerület", 34 m² terület, 1 szoba
 29.89 M Ft ," Angyalföld – Országbíró utcai lakótelep, XIII. kerület", 55 m² terület, 2 szoba
 36.9 M Ft ," Újlipótváros, XIII. kerület", 39 m² terület, 2 szoba
 29.9 M Ft ," Kassai utca, IV. kerület", 71 m² terület, 2 + 1 fél szoba
 38 M Ft ," Göncöl utca, XIII. kerület", 68 m² terület, 2 szoba
 37.2 M Ft ," Újlipótváros, XIII. kerület", 44 m² terület, 2 szoba
 24 M Ft ," Szigligeti utca, XIX. kerület", 59 m² terület, 1 + 2 fél szoba
 17.9 M Ft ," Pöltenberg utca, XX. kerület", 31 m² terület, 1 szoba
 34.99 M Ft ," Angyalföld – Gyöngyösi utcai lakótelep, XIII. kerület", 48 m² terület, 1 + 1 fél szoba
 27.5 M Ft ," Zrínyi utca, XIX. kerület", 53 m² terület, 1 + 2 fél szoba
 28.9 M Ft ," Kispesti lakótelep, XIX. kerület", 59 m² terület, 1 + 2 fél szoba
 32.4 M Ft ," Újlipótváros, XIII. kerület", 32 m² terület, 2 szoba
 22.4 M Ft ," Árpád út, IV. kerület", 35 m² terület, 1 + 1 fél szoba
 20.7 M Ft ," Károlyi István utca, IV. kerület", 35 m² terület, 1 + 1 fél szoba
 17.2 M Ft ," Erzsébetfalva, XX. kerület", 38 m² terület, 1 szoba
 18.7 M Ft ," Újpest-Központ, IV. kerület", 35 m² terület, 1 szoba
 27.8 M Ft ," Fiastyúk utca, XIII. kerület", 36 m² terület, 1 + 1 fél szoba
 37.9 M Ft ," Angyalföld, XIII. kerület", 44 m² terület, 2 szoba
 18 M Ft ," Tomori utca, IV. kerület", 30 m² terület, 1 szoba
 24.8 M Ft ," Erzsébetfalva, XX. kerület", 43 m² terület, 1 + 1 fél szoba
 19.49 M Ft ," Határ út, XIX. kerület", 35 m² terület, 1 szoba
 29.49 M Ft ," Perényi Zsigmond utca, IV. kerület", 46 m² terület, 1 + 1 fél szoba
 25.9 M Ft ," Erzsébetfalva – Pesterzsébeti lakótelep, XX. kerület", 57 m² terület, 2 + 1 fél szoba
 33 M Ft ," Megyer, IV. kerület", 52 m² terület, 1 + 2 fél szoba
 29.5 M Ft ," Kispesti lakótelep, XIX. kerület", 59 m² terület, 1 + 2 fél szoba
 29.9 M Ft ," Belváros, V. kerület", 38 m² terület, 2 szoba
 22.9 M Ft ," Kossuth utca, IV. kerület", 50 m² terület, 2 szoba
 19 M Ft ," Csángó utca, XIII. kerület", 27 m² terület, 1 szoba
 22.5 M Ft ," Csokonai utca, IV. kerület", 33 m² terület, 1 szoba
 20.8 M Ft ," Pap Károly utca, XIII. kerület", 23 m² terület, 1 szoba
 31 M Ft ," József Attila tér, XIII. kerület", 46 m² terület, 1 szoba
 33.6 M Ft ," Újlipótváros, XIII. kerület", 59 m² terület, 1 + 2 fél szoba
 26.9 M Ft ," Szigeti József utca, IV. kerület", 54 m² terület, 2 szoba
 36.9 M Ft ," Görgey Artúr utca, IV. kerület", 62 m² terület, 2 szoba
 23.9 M Ft ," Tinódi utca, IV. kerület", 39 m² terület, 1 + 1 fél szoba
 22.5 M Ft ," Szent László tér, IV. kerület", 37 m² terület, 1 szoba
 36.9 M Ft ," Béke utca, XIII. kerület", 54 m² terület, 1 + 2 fél szoba
 25.5 M Ft ," Erzsébetfalva – Pesterzsébeti lakótelep, XX. kerület", 54 m² terület, 2 szoba
 25.9 M Ft ," Ritka utca, XX. kerület", 51 m² terület, 2 szoba
 22.9 M Ft ," Pannónia út, XIX. kerület", 47 m² terület, 2 szoba
 17 M Ft ," Reitter Ferenc utca, XIII. kerület", 26 m² terület, 1 szoba
 34.5 M Ft ," Béke utca, XIII. kerület", 40 m² terület, 2 szoba
 25 M Ft ," Bárdos Artúr utca, IV. kerület", 35 m² terület, 2 szoba
 34.7 M Ft ," Rózsa utca, IV. kerület", 72 m² terület, 2 + 1 fél szoba
 27.5 M Ft ," Újpesti lakótelep, IV. kerület", 59 m² terület, 2 szoba
 28.99 M Ft ," Tinódi utca, IV. kerület", 45 m² terület, 1 szoba
 31.9 M Ft ," Belgrád rakpart, V. kerület", 32 m² terület, 2 szoba
 33.5 M Ft ," Népfürdő utca, XIII. kerület", 49 m² terület, 2 szoba
 26.5 M Ft ," Árpád út, IV. kerület", 60 m² terület, 3 szoba
 24.2 M Ft ," Kassák Lajos utca, XIII. kerület", 32 m² terület, 1 szoba
 24.9 M Ft ," Forgách utca 32, XIII. kerület", 32 m² terület, 1 szoba
 29.9 M Ft ," Bulcsú utca, XIII. kerület", 40 m² terület, 2 szoba
 36.9 M Ft ," Gogol utca, XIII. kerület", 54 m² terület, 2 szoba
 35.9 M Ft ," Kassai utca, IV. kerület", 75 m² terület, 2 + 1 fél szoba
 26.5 M Ft ," Újpest, IV. kerület", 50 m² terület, 1 szoba
 24.9 M Ft ," Vígszínház utca, XIII. kerület", 29 m² terület, 1 szoba
 18.9 M Ft ," Attila utca, IV. kerület", 47 m² terület, 1 szoba
 34 M Ft ," Angyalföld, XIII. kerület", 38 m² terület, 1 + 1 fél szoba
 33.5 M Ft ," Béke utca, XIII. kerület", 40 m² terület, 1 + 1 fél szoba
 16.5 M Ft ," Angyalföld – Béke–Tatai utcai lakótelep, XIII. kerület", 27 m² terület, 1 szoba
 26 M Ft ," Reitter Ferenc utca, XIII. kerület", 36 m² terület, 1 szoba
 25.4 M Ft ," Lehel utca, XX. kerület", 36 m² terület, 2 szoba
 17.9 M Ft ," Lehel utca, XX. kerület", 23 m² terület, 1 szoba
 30.5 M Ft ," Lehel utca, XX. kerület", 54 m² terület, 2 + 1 fél szoba
 14.9 M Ft ," Erzsébetfalva, XX. kerület", 26 m² terület, 1 szoba
 36.9 M Ft ," Pannónia utca, XIII. kerület", 53 m² terület, 2 szoba
 18.9 M Ft ," Kispest-Óváros, XIX. kerület", 26 m² terület, 1 szoba
 36.9 M Ft ," Tél utca, IV. kerület", 67 m² terület, 2 + 2 fél szoba
 35.9 M Ft ," Pacsirta utca, XX. kerület", 59 m² terület, 2 szoba
 21.3 M Ft ," Kisfaludy utca, IV. kerület", 59 m² terület, 2 szoba
 29.9 M Ft ," Angyalföld – Lőportárdűlő, XIII. kerület", 40 m² terület, 1 + 1 fél szoba
 25.5 M Ft ," Kulcsár utca, XX. kerület", 49 m² terület, 1 + 1 fél szoba
 22.9 M Ft ," Pacsirtatelep, XX. kerület", 63 m² terület, 3 szoba
 29.54 M Ft ," Váci út, XIII. kerület", 33 m² terület, 1 szoba
 22.9 M Ft ," Újpest, IV. kerület", 27 m² terület, 1 szoba
 33.75 M Ft ," Tomori köz, XIII. kerület", 45 m² terület, 1 + 2 fél szoba
 27.36 M Ft ," Lehel utca 6, XIX. kerület", 30 m² terület, 1 szoba
 29.5 M Ft ," Tomori köz, XIII. kerület", 40 m² terület, 1 szoba
 23.9 M Ft ," Pázsitos sétány, XX. kerület", 41 m² terület, 1 + 1 fél szoba
 37.9 M Ft ," Béke utca 117, XIII. kerület", 48 m² terület, 1 + 1 fél szoba
 33.7 M Ft ," Szigeti József utca, IV. kerület", 71 m² terület, 3 szoba
 28.9 M Ft ," Berda József utca, IV. kerület", 53 m² terület, 2 szoba
 33.8 M Ft ," Erzsébet utca, IV. kerület", 71 m² terület, 3 szoba
 26.9 M Ft ," Vizafogó, XIII. kerület", 37 m² terület, 1 szoba
 29.7 M Ft ," Szent Imre utca, IV. kerület", 52 m² terület, 2 szoba
 25 M Ft ," Béke tér, XIII. kerület", 39 m² terület, 1 szoba
 35.99 M Ft ," Tüzér utca, XIII. kerület", 55 m² terület, 2 szoba
 27.5 M Ft ," Móricz Zsigmond utca, XIX. kerület", 53 m² terület, 2 szoba
 25.9 M Ft ," Csányi László utca, IV. kerület", 32 m² terület, 1 szoba
 24.9 M Ft ," Hamvas utca, XIX. kerület", 28 m² terület, 1 szoba
 32.99 M Ft ," Vágóhíd utca, XX. kerület", 68 m² terület, 3 szoba
 16.3 M Ft ," Károlyi István utca, IV. kerület", 31 m² terület, 1 szoba
 25.9 M Ft ," Újpest-Kertváros, IV. kerület", 45 m² terület, 1 szoba
 35.99 M Ft ," Pannónia utca, XIII. kerület", 48 m² terület, 2 szoba
 27.9 M Ft ," Frangepán utca, XIII. kerület", 41 m² terület, 1 + 1 fél szoba
 33.5 M Ft ," Kispest-Óváros, XIX. kerület", 64 m² terület, 2 + 1 fél szoba
 26.5 M Ft ," Lajtha László utca, XX. kerület", 58 m² terület, 1 + 3 fél szoba
 13 M Ft ," Angyalföld, XIII. kerület", 37 m² terület, 1 szoba
 32.9 M Ft ," Újlipótváros, XIII. kerület", 42 m² terület, 1 + 1 fél szoba
 31.5 M Ft ," Galopp utca, IV. kerület", 67 m² terület, 2 + 1 fél szoba
 26.6 M Ft ," Csángó utca 22, XIII. kerület", 35 m² terület, 1 + 1 fél szoba
 27.9 M Ft ," Kispesti lakótelep, XIX. kerület", 59 m² terület, 1 + 2 fél szoba
 17.9 M Ft ," Jókai utca, XIX. kerület", 28 m² terület, 1 + 1 fél szoba
 23.9 M Ft ," Munkásotthon utca, IV. kerület", 34 m² terület, 1 + 1 fél szoba
 16.5 M Ft ," Venetianer utca, IV. kerület", 30 m² terület, 1 szoba
 19.5 M Ft ," Nap utca, IV. kerület", 32 m² terület, 1 szoba
 34.49 M Ft ," Kispest, XIX. kerület", 60 m² terület, 3 szoba
 19.52 M Ft ," Kispesti lakótelep, XIX. kerület", 27 m² terület, 1 szoba
 20.9 M Ft ," Zichy Mihály utca, IV. kerület", 40 m² terület, 1 + 1 fél szoba
 28.5 M Ft ," Jókai utca, XIX. kerület", 58 m² terület, 1 + 2 fél szoba
 26.9 M Ft ," Deák Ferenc utca, IV. kerület", 41 m² terület, 2 szoba
 26.6 M Ft ," Újpesti lakótelep, IV. kerület", 53 m² terület, 1 + 2 fél szoba
 15.9 M Ft ," Károlyi István utca, IV. kerület", 28 m² terület, 1 szoba
 17.5 M Ft ," Újpest-Kertváros, IV. kerület", 36 m² terület, 1 szoba
 27 M Ft ," Újlipótváros, XIII. kerület", 33 m² terület, 1 szoba
 30.9 M Ft ," Újpest, IV. kerület", 67 m² terület, 2 + 1 fél szoba
 26.45 M Ft ," Rokolya utca, XIII. kerület", 43 m² terület, 1 + 2 fél szoba
 25.5 M Ft ," Béke utca, XIII. kerület", 38 m² terület, 1 szoba
 20.2 M Ft ," Újpest-Központ, IV. kerület", 32 m² terület, 1 szoba
 26.99 M Ft ," Lajtha László utca, XX. kerület", 58 m² terület, 2 + 1 fél szoba
 16.1 M Ft ," Baross utca, IV. kerület", 29 m² terület, 1 szoba
 28.9 M Ft ," Nagykőrösi út, XIX. kerület", 60 m² terület, 2 szoba
 29.7 M Ft ," Hollán Ernő utca, XIII. kerület", 43 m² terület, 1 + 1 fél szoba
 26 M Ft ," Dunakeszi utca, IV. kerület", 37 m² terület, 1 szoba
 32.9 M Ft ," Gubacsipuszta, XX. kerület", 40 m² terület, 1 + 1 fél szoba
 36.8 M Ft ," Taksony utca, XIII. kerület", 37 m² terület, 2 szoba
 31.5 M Ft ," Galopp utca, IV. kerület", 65 m² terület, 2 + 1 fél szoba
 20.9 M Ft ," Nagysándor József utca, XX. kerület", 47 m² terület, 1 + 1 fél szoba
 27.5 M Ft ," Deák Ferenc utca, IV. kerület", 53 m² terület, 1 + 2 fél szoba
 25.99 M Ft ," Erzsébetfalva – Pesterzsébeti lakótelep, XX. kerület", 49 m² terület, 1 + 1 fél szoba
 28.9 M Ft ," Zichy Mihály utca, IV. kerület", 53 m² terület, 2 szoba
 15 M Ft ," Tinódi utca, IV. kerület", 24 m² terület, 1 szoba
 14.9 M Ft ," Hosszú utca, XX. kerület", 30 m² terület, 1 szoba
 28 M Ft ," Határ út, XX. kerület", 59 m² terület, 1 + 2 fél szoba
 35 M Ft ," Kós Károly tér, XIX. kerület", 68 m² terület, 2 szoba
 29.9 M Ft ," Lehel utca 70, XIII. kerület", 29 m² terület, 1 szoba
 21.9 M Ft ," Újpest-Központ, IV. kerület", 33 m² terület, 1 szoba
 26.8 M Ft ," Angyalföld, XIII. kerület", 40 m² terület, 1 szoba
 29.9 M Ft ," Wekerletelep, XIX. kerület", 59 m² terület, 2 szoba
 18.9 M Ft ," Kispest-Óváros, XIX. kerület", 28 m² terület, 1 szoba
 25.5 M Ft ," Lehel utca, XIII. kerület", 39 m² terület, 1 szoba
 24 M Ft ," Rózsa utca, IV. kerület", 36 m² terület, 1 + 1 fél szoba
 32.9 M Ft ," Rákóczi utca, XIX. kerület", 59 m² terület, 1 + 2 fél szoba
 29 M Ft ," Lehel utca 49/A, XIII. kerület", 49 m² terület, 1 szoba
 36.9 M Ft ," Belváros, V. kerület", 30 m² terület, 1 + 1 fél szoba
 28.9 M Ft ," Garam utca, XIII. kerület", 30 m² terület, 1 szoba
 32.9 M Ft ," Apály utca, XIII. kerület", 34 m² terület, 2 szoba
 26.05 M Ft ," Angyalföld – Béke–Tatai utcai lakótelep, XIII. kerület", 27 m² terület, 1 szoba
 26.9 M Ft ," Erzsébetfalva – Pesterzsébeti lakótelep, XX. kerület", 49 m² terület, 1 + 1 fél szoba
 33.9 M Ft ," Újpest, IV. kerület", 78 m² terület, 2 szoba
 29.9 M Ft ," Újpest, IV. kerület", 56 m² terület, 2 szoba
 20.8 M Ft ," Újpest-Kertváros, IV. kerület", 34 m² terület, 1 szoba
 34.99 M Ft ," Vizafogó – Dagály utcai lakótelep, XIII. kerület", 38 m² terület, 2 szoba
 19.9 M Ft ," Csángó utca, XIII. kerület", 35 m² terület, 1 szoba
 29.5 M Ft ," Újpest, IV. kerület", 46 m² terület, 1 + 1 fél szoba
 26.9 M Ft ," Kispest-Óváros, XIX. kerület", 34 m² terület, 1 szoba
 29.9 M Ft ," Lajtha László utca, XX. kerület", 67 m² terület, 3 szoba
 24.95 M Ft ," Angyalföld, XIII. kerület", 57 m² terület, 1 + 2 fél szoba
 31.5 M Ft ," Katona József utca, XIII. kerület", 41 m² terület, 2 szoba
 22.9 M Ft ," Mór utca, XIII. kerület", 36 m² terület, 1 + 1 fél szoba
 28.9 M Ft ," Kende Kanuth utca, XX. kerület", 64 m² terület, 2 + 1 fél szoba
 38 M Ft ," Felsőkispest, XIX. kerület", 101 m² terület, 3 szoba
 27.9 M Ft ," Veres Pálné utca, V. kerület", 24 m² terület, 1 szoba
 34 M Ft ," Kispesti lakótelep, XIX. kerület", 68 m² terület, 2 + 1 fél szoba
 28.5 M Ft ," Vas Gereben utca, XIX. kerület", 64 m² terület, 3 szoba
 31.5 M Ft ," Újpest-Központ, IV. kerület", 44 m² terület, 2 szoba
 30.5 M Ft ," Esztergomi út, XIII. kerület", 27 m² terület, 1 szoba
 21 M Ft ," Kispest-Óváros, XIX. kerület", 83 m² terület, 3 szoba
 32.9 M Ft ," Markó utca, V. kerület", 22 m² terület, 1 szoba
 25 M Ft ," Lehel utca, XIII. kerület", 39 m² terület, 1 szoba
 21 M Ft ," Szent László út, XIII. kerület", 29 m² terület, 1 szoba
 35.99 M Ft ," Angyalföld – Lőportárdűlő, XIII. kerület", 55 m² terület, 2 szoba
 25.5 M Ft ," Angyalföld – Béke–Tatai utcai lakótelep, XIII. kerület", 38 m² terület, 1 szoba
 34.5 M Ft ," Dózsa György út, XIII. kerület", 54 m² terület, 1 szoba
 17.9 M Ft ," Újpest, IV. kerület", 28 m² terület, 1 szoba
 33.5 M Ft ," Kispest, XIX. kerület", 63 m² terület, 2 + 1 fél szoba
 26.9 M Ft ," Gubacsi lakótelep, XX. kerület", 44 m² terület, 2 szoba
 34.99 M Ft ," Tahi utca, XIII. kerület", 50 m² terület, 2 szoba
 37 M Ft ," Újpesti lakótelep, IV. kerület", 72 m² terület, 2 + 1 fél szoba
 27.9 M Ft ," Dobó Katica utca, XIX. kerület", 57 m² terület, 2 + 1 fél szoba
 17.5 M Ft ," Irányi Dániel utca, IV. kerület", 39 m² terület, 1 szoba
 29.7 M Ft ," Hollán Ernő utca, XIII. kerület", 43 m² terület, 1 szoba
 17.5 M Ft ," Baross utca, IV. kerület", 37 m² terület, 1 szoba
 29.7 M Ft ," Hollán Ernő utca, XIII. kerület", 43 m² terület, 1 szoba
 29 M Ft ," Kis Gömb utca, XIII. kerület", 43 m² terület, 1 szoba
 35.9 M Ft ," Zalaegerszeg utca, XIX. kerület", 46 m² terület, 2 szoba
 22.9 M Ft ," Hajdú utca, XIII. kerület", 20 m² terület, 1 szoba
 25.3 M Ft ," Kispest-Óváros, XIX. kerület", 59 m² terület, 1 + 2 fél szoba
 20.9 M Ft ," Csepeli átjáró, XX. kerület", 47 m² terület, 1 szoba
