Price,Address,Size,Rooms
 32 M Ft ," Angyalföld, XIII. kerület", 44 m² terület, 2 szoba
 23.9 M Ft ," Irányi Dániel utca, XIX. kerület", 37 m² terület, 2 szoba
 27.9 M Ft ," Szent László út, XIII. kerület", 34 m² terület, 1 + 1 fél szoba
 29.9 M Ft ," Angyalföld-Kertváros, XIII. kerület", 46 m² terület, 2 szoba
 26.9 M Ft ," Török Flóris utca, XX. kerület", 66 m² terület, 2 + 1 fél szoba
 24.99 M Ft ," Zamárdi utca, XX. kerület", 39 m² terület, 2 szoba
 30.9 M Ft ," Pacsirtatelep, XX. kerület", 68 m² terület, 2 + 1 fél szoba
 32.9 M Ft ," Fiume utca, XX. kerület", 42 m² terület, 1 + 1 fél szoba
 34.5 M Ft ," Virág utca, IV. kerület", 71 m² terület, 2 + 2 fél szoba
 32.9 M Ft ," Tél utca, IV. kerület", 67 m² terület, 2 + 1 fél szoba
 31.3 M Ft ," Nyár utca, IV. kerület", 67 m² terület, 2 + 1 fél szoba
 34.9 M Ft ," Kispest, XIX. kerület", 65 m² terület, 1 + 2 fél szoba
 35.9 M Ft ," Pannónia utca, XIII. kerület", 45 m² terület, 1 + 1 fél szoba
 33.5 M Ft ," Vizafogó-lakótelep, XIII. kerület", 49 m² terület, 2 szoba
 35.9 M Ft ," Csata utca, XIII. kerület", 41 m² terület, 2 szoba
 24.7 M Ft ," Angyalföld – Béke–Tatai utcai lakótelep, XIII. kerület", 28 m² terület, 1 szoba
 32.9 M Ft ," Kispest, XIX. kerület", 45 m² terület, 2 szoba
 23.99 M Ft ," Kispest, XIX. kerület", 41 m² terület, 1 + 1 fél szoba
 36.5 M Ft ," Deák Ferenc utca, IV. kerület", 58 m² terület, 2 + 1 fél szoba
 33.5 M Ft ," Dunyov István utca, XIII. kerület", 58 m² terület, 1 + 2 fél szoba
 24.49 M Ft ," Arany János utca 24., XIX. kerület", 53 m² terület, 1 + 2 fél szoba
 19.9 M Ft ," Béke tér, XIII. kerület", 27 m² terület, 1 szoba
 19.99 M Ft ," Dévényi utca, XIII. kerület", 38 m² terület, 1 szoba
 24.49 M Ft ," Arany János utca 24. 7/23., XIX. kerület", 52 m² terület, 1 + 2 fél szoba
 35.9 M Ft ," Baross utca, XX. kerület", 66 m² terület, 2 + 1 fél szoba
 29.9 M Ft ," Kossuth Lajos utca, XX. kerület", 52 m² terület, 2 szoba
 37.9 M Ft ," Újpest, IV. kerület", 73 m² terület, 2 + 1 fél szoba
 35.9 M Ft ," Szabolcs utca 15-25., XIII. kerület", 31 m² terület, 1 szoba
 22.99 M Ft ," Vizafogó, XIII. kerület", 37 m² terület, 1 szoba
 31.9 M Ft ," Röntgen utca, XIII. kerület", 40 m² terület, 2 szoba
 27.62 M Ft ," Pozsonyi utca 4, IV. kerület", 56 m² terület, 1 + 2 fél szoba
 21.9 M Ft ," Kossuth Lajos utca 26-28, XX. kerület", 51 m² terület, 1 + 2 fél szoba
 18.29 M Ft ," Kispesti lakótelep, XIX. kerület", 27 m² terület, 1 szoba
 16.6 M Ft ," Nagysándor József utca, XX. kerület", 27 m² terület, 1 szoba
 18.99 M Ft ," Pöltenberg utca, XX. kerület", 26 m² terület, 1 + 1 fél szoba
 19.5 M Ft ," Hegedűs Gyula utca, XIII. kerület", 17 m² terület, 1 szoba
 24.5 M Ft ," Baross utca, XX. kerület", 57 m² terület, 2 szoba
 25 M Ft ," Csángó utca, XIII. kerület", 38 m² terület, 1 szoba
 32.5 M Ft ," Závodszky Zoltán utca, IV. kerület", 53 m² terület, 2 + 1 fél szoba
 20.9 M Ft ," Kosárfonó utca 10, XIX. kerület", 35 m² terület, 1 + 1 fél szoba
 34.9 M Ft ," Lóverseny tér 5, IV. kerület", 67 m² terület, 2 + 1 fél szoba
 23.5 M Ft ," Kispest, XIX. kerület", 50 m² terület, 1 szoba
 23.9 M Ft ," Hajdú utca, XIII. kerület", 40 m² terület, 1 szoba
 32 M Ft ," Angyalföld, XIII. kerület", 39 m² terület, 1 szoba
 31.9 M Ft ," Bem utca, XIX. kerület", 68 m² terület, 3 szoba
 21.9 M Ft ," Reitter Ferenc utca, XIII. kerület", 37 m² terület, 1 szoba
 33.5 M Ft ," Népfürdő utca, XIII. kerület", 49 m² terület, 2 szoba
 21.9 M Ft ," Újpesti lakótelep, IV. kerület", 46 m² terület, 2 szoba
 23.5 M Ft ," Mohács utca, XIII. kerület", 26 m² terület, 1 szoba
 28.8 M Ft ," Újpesti lakótelep, IV. kerület", 53 m² terület, 2 szoba
 27.99 M Ft ," Munkásotthon utca, IV. kerület", 56 m² terület, 2 szoba
 38 M Ft ," Béke utca, XIII. kerület", 57 m² terület, 2 szoba
 33.67 M Ft ," Angyalföld, XIII. kerület", 37 m² terület, 1 + 1 fél szoba
 33.99 M Ft ," Vizafogó, XIII. kerület", 46 m² terület, 2 szoba
 32.7 M Ft ," Nyár utca, IV. kerület", 71 m² terület, 2 + 1 fél szoba
